date,Appointments,Source file for appointments,Patients,Item_all antibiotics,Item_Penicillins,Item_Cephalosporins,item_Tetracyclines,item_Macrolides,item_Quinolones
01/01/2018,"26,014,945",Jun-19,58914146,3455119,1802617,73569,486574,416330,58457
01/02/2018,"22,973,301",Jul-19,58969634,2827697,1454298,63421,379457,335883,50358
01/03/2018,"24,202,373",Aug-19,59005024,2937672,1489637,68720,391780,349055,55416
01/04/2018,"22,819,121",Sep-19,59039595,2613950,1278525,64634,355677,303583,52780
01/05/2018,"23,927,711",Oct-19/Oct-20,59085088,2606671,1274502,65928,341918,298906,52428
01/06/2018,"22,879,653",Nov-19/Nov-20,59133600,2437569,1165311,63920,315419,273940,50712
01/07/2018,"23,480,456",Dec-19/Dec-20,59178163,2436445,1166351,64194,299095,270879,50850
01/08/2018,"22,242,395",Jan-20/Jan-21,59234413,2379007,1074218,67365,300343,257307,55059
01/09/2018,"22,636,387",Feb-20/Feb-21,59297331,2374847,1104097,62730,310632,258527,52603
01/10/2018,"27,982,868",Mar-20/Mar-21,59409696,2768368,1332099,68175,371693,306559,57717
01/11/2018,"27,083,933",Apr-21,59503377,2723573,1337546,65209,363290,302122,54266
01/12/2018,"21,841,521",May-21,59574450,2842893,1439904,65171,392992,321554,52317
01/01/2019,"26,825,846",Jun-21,59607191,3149366,1595115,68400,459424,358276,56052
01/02/2019,"24,315,108",Aug-21,59669673,2691451,1356754,60033,380319,307401,48159
01/03/2019,"25,560,154",Aug-21,59714859,2685318,1306298,64514,378133,303299,49531
01/04/2019,"23,852,148",Sep-21,59759638,2537741,1232968,61671,368009,286358,43334
01/05/2019,"24,643,147",Oct-21,59805344,2493424,1161834,65567,361513,278707,45961
01/06/2019,"23,190,629",Nov-21,59855056,2319379,1075714,61554,327476,255067,43088
01/07/2019,"26,301,292",Dec-21,59901236,2479559,1183599,64217,328824,272002,44451
01/08/2019,"22,846,393",Jan-22,59957750,2390169,1082089,66125,322635,258484,45937
01/09/2019,"25,788,437",Feb-22,60006178,2392185,1106489,61627,328529,258227,44323
01/10/2019,"30,054,362",Mar-22,60123503,2764886,1326516,64881,395688,302993,48064
01/11/2019,"26,809,584",Mar-22,60224288,2765418,1372460,62883,395821,308104,44864
01/12/2019,"23,606,506",Mar-22,60287576,3090036,1612126,65223,449363,347963,44969
01/01/2020,"27,199,296",Mar-22,60323942,3075186,1512847,67687,484429,346489,47774
01/02/2020,"24,104,620",Mar-22,60377858,2620280,1287906,61109,389191,296112,41199
01/03/2020,"24,053,468",Mar-22,60429301,2790445,1337922,67657,444319,324455,44802
01/04/2020,"16,007,881",Mar-22,60458907,2380160,1031277,69830,385528,269408,45267
01/05/2020,"16,417,212",Mar-22,60408501,1980231,815470,63990,302355,213730,41111
01/06/2020,"20,690,805",Mar-22,60398455,1997987,826395,65458,285756,210033,41970
01/07/2020,"22,491,437",Mar-22,60413787,2053914,838629,68006,289221,213069,43032
01/08/2020,"20,150,520",Mar-22,60423015,1909877,803526,62014,260326,198217,38236
01/09/2020,"26,714,254",Mar-22,60417236,2239793,982699,68329,317909,232242,42604
01/10/2020,"28,301,930",Mar-22,60470172,2234167,935141,70510,334347,231017,45263
01/11/2020,"25,061,602",Mar-22,60528446,2130732,874061,68925,320201,218985,44130
01/12/2020,"23,535,936",Mar-22,60570367,2239568,922402,73208,342278,232090,46283
01/01/2021,"22,492,069",Mar-22,60606345,2138198,871363,68891,361659,220216,43198
01/02/2021,"22,399,569",Mar-22,60618754,1906307,770461,64283,300204,196091,39857
01/03/2021,"27,225,424",Mar-22,60650740,2149071,896160,72008,328011,220937,43247
01/04/2021,"23,878,162",Mar-22,60744002,2008221,856037,66620,309548,208460,38362
01/05/2021,"23,495,748",Mar-22,60798847,2048067,921045,64622,297738,211849,36960
01/06/2021,"26,769,426",Mar-22,60860759,2277908,1066097,68034,320190,234304,38103
01/07/2021,"25,723,405",Mar-22,60970002,2366079,1107313,70663,328687,239900,39507
01/08/2021,"23,838,045",Mar-22,61032314,2211282,993936,68807,313837,220864,39298
01/09/2021,"28,505,432",Mar-22,61086074,2528557,1196482,72195,367078,252702,41269
01/10/2021,"30,284,946",Mar-22,61194033,2759732,1382415,71189,406616,279230,41305
01/11/2021,"30,386,565",Mar-22,61300225,2847431,1406536,73334,438087,291002,42494
01/12/2021,"25,124,465",Mar-22,61395839,2909599,1428396,76722,461600,299189,43163
01/01/2022,"25,619,205",Mar-22,61469262,2513631,1155922,72839,404254,254081,39962
01/02/2022,"25,338,503",Mar-22,61526961,2303888,1070098,67281,348776,234606,37047
01/03/2022,"29,574,021",Mar-22,61573603,2730319,1315297,75084,424038,277391,40793